Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Moustafa Mohamed Elmekawi,4.5,15.2,0.5,3.4,2.4,5.8,0.4,0.3,2.5,9,3,33.3,2,1,50.0
Seifelden Kaidar Hendawy,0.3,4.2,0.0,0.0,0.3,0.3,0.3,0.0,0.7,2,1,50.0,1,0,0.0
Ehab Amin Saleh,13.1,24.1,3.1,5.1,0.6,5.8,0.1,1.6,1.9,13,8,61.5,55,19,34.5
Amr Sherif Abdelhalim,8.5,17.0,3.0,1.5,0.9,2.4,0.1,0.3,0.8,11,7,63.6,26,7,26.9
Marawan Sarhan,2.3,8.2,0.0,1.7,0.3,2.0,0.0,0.0,0.7,4,3,75.0,4,0,0.0
Seif Said,3.0,8.9,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2,1,50.0,0,0,0.0
Ahmed Moheib,8.3,11.9,0.0,0.7,0.3,1.0,0.0,0.0,0.0,1,1,100.0,8,2,25.0
Patrick Gardner,10.5,18.0,0.9,3.6,1.0,4.6,0.1,0.8,1.4,7,6,85.7,29,10,34.5
Mohamed Mahmoud Abouelnasr Abdelkawy,3.3,16.4,0.9,1.8,0.3,2.0,0.3,0.1,1.5,12,5,41.7,7,3,42.9
Mark Steven Lyons,12.6,24.5,5.4,1.5,0.4,1.9,0.0,2.0,2.6,19,13,68.4,54,18,33.3
Karim Hatem Ibrahem Mahmoud Elgizawy,3.1,14.9,1.9,1.4,0.4,1.9,0.0,0.3,1.3,4,3,75.0,10,5,50.0
Prince Adams Ali,7.1,16.4,0.6,1.4,0.9,2.3,0.3,0.0,0.9,10,8,80.0,19,9,47.4
Tony Rasean Mitchell Jr,11.6,26.3,3.5,5.1,0.9,6.0,1.0,1.6,2.6,19,14,73.7,44,13,29.5
Omar Tarek Oraby,8.9,18.9,0.8,2.5,3.0,5.5,1.9,0.0,2.1,21,11,52.4,1,0,0.0
