Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Robinson Opong,3.3,0.1,0.4,1.1,0.6,1.7,0.0,0.2,0.5,1.5,1.4,93.3,18.1,2.5,13.8
Dane Anthony Miller Jr.,3.8,3.2,1.1,1.4,0.0,1.4,0.0,0.3,0.3,1.5,0.5,33.3,0.5,0.2,40.0
Khaman Maluach,7.2,2.3,0.6,2.2,0.0,2.2,0.6,0.7,1.7,0.2,0.1,50.0,0.2,0.1,50.0
Fayed Baale,0.7,7.1,0.1,0.2,0.3,0.5,0.0,0.3,0.0,1.4,0.8,57.1,1.5,0.0,0.0
Tony Drileba,0.5,2.7,0.0,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.0,5.8,2.0,34.5
James Okello,0.4,0.6,0.4,0.5,0.2,0.7,0.0,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0
Ivan Muhwezi,0.0,0.2,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Titus Odeke,0.3,2.8,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Muhammed Bashir Ahmed,2.7,1.5,0.0,0.0,0.1,0.1,0.1,0.2,0.3,1.9,1.2,63.2,5.0,0.7,14.0
Patrick Ronald Rembert,1.2,4.3,0.1,0.9,0.2,1.1,0.0,0.0,0.1,0.4,0.4,100.0,7.1,2.8,39.4
Randy Lechard Culpepper Sr,9.6,6.8,0.2,0.6,0.0,0.6,0.0,0.2,0.2,6.3,4.6,73.0,4.7,1.2,25.5
