Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Myck Kabongo,8.8,31.2,6.7,5.3,0.0,5.3,0.0,2.3,3.7,32,20,62.5,24,3,12.5
Billy Preston,19.6,31.9,2.8,6.4,0.8,7.2,0.8,1.6,3.4,32,29,90.6,16,3,18.8
Evans Ganapamo,16.2,35.0,1.8,2.8,0.7,3.5,0.2,1.5,1.3,17,13,76.5,43,14,32.6
Jamel Artis,12.8,28.7,1.5,1.5,1.5,3.0,0.0,1.3,1.8,16,11,68.8,13,4,30.8
Daniel Pieter Prinsloo,10.7,31.1,1.8,3.8,1.7,5.5,1.5,0.8,3.5,14,10,71.4,36,12,33.3
Liam Reid,0.7,7.8,0.0,0.7,0.0,0.7,1.3,0.0,0.7,0,0,0.0,0,0,0.0
Nkosinathi Festile,0.0,8.4,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0,0,0.0,1,0,0.0
Ben Myburgh,4.3,14.4,0.7,0.7,0.3,1.0,0.0,1.0,2.0,0,0,0.0,18,6,33.3
Lebo Mofokeng,2.0,10.8,0.5,0.3,0.0,0.3,0.0,0.0,0.5,0,0,0.0,1,0,0.0
Nkosinathi Sibanyoni,4.6,21.7,0.6,4.8,2.4,7.2,0.8,1.6,2.2,8,3,37.5,0,0,0.0
Lebesa Selepe,2.0,6.3,0.2,0.8,0.0,0.8,0.0,0.0,0.8,0,0,0.0,4,2,50.0
Matar Diop,2.0,5.5,0.0,0.7,1.0,1.7,0.0,0.0,0.3,6,4,66.7,0,0,0.0
Cleananthony Early,15.0,30.9,2.0,3.0,0.0,3.0,1.0,2.0,2.0,4,4,100.0,4,1,25.0
Matthew Williams,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
Lehlogonolo Sechaba Lehlogonolo Sechaba,0.0,8.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0
