Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Mikhael McKinney,14.4,22.9,5.0,2.6,0.8,3.4,0.0,1.0,2.6,43,39,90.7,17,4,23.5
Ahmed Azab,3.1,9.1,0.9,0.6,0.4,1.0,0.1,0.0,1.6,3,2,66.7,21,7,33.3
Omar Hesham,3.1,12.4,0.7,0.7,0.4,1.1,0.0,0.3,1.1,16,10,62.5,6,0,0.0
Eslam Salem,6.3,15.1,1.8,1.6,0.6,2.3,0.0,0.5,1.4,14,10,71.4,17,6,35.3
Adham Essam,1.7,4.2,0.0,0.7,0.0,0.7,0.0,0.0,0.0,4,1,25.0,1,0,0.0
Edgar Sosa,18.1,29.3,3.1,2.1,0.3,2.4,0.1,0.9,1.6,26,20,76.9,69,27,39.1
Anas Mahmoud,9.9,28.7,3.5,7.0,2.8,9.8,2.4,0.8,1.9,18,7,38.9,1,0,0.0
Moustafa Kejo,6.6,16.2,0.5,4.4,2.9,7.3,0.0,0.4,3.0,23,10,43.5,7,3,42.9
Hazem Elmashad,1.2,5.6,0.2,0.7,0.7,1.3,0.2,0.2,2.3,1,1,100.0,2,0,0.0
Ikechukwu Diogu,12.5,27.0,1.7,6.2,1.0,7.2,0.2,0.2,2.5,8,6,75.0,44,17,38.6
DJ Strawberry,9.9,25.8,4.1,3.5,0.6,4.1,0.1,1.1,2.0,20,10,50.0,43,11,25.6
Khadim Rassoul Mboup,1.1,3.1,0.0,0.3,0.3,0.5,0.1,0.3,0.9,6,5,83.3,1,0,0.0
Mohab Abdellatif,7.0,16.7,1.0,1.3,1.0,2.3,0.0,0.7,1.0,4,2,50.0,6,1,16.7
Ahmed Yasser,2.6,10.4,0.9,1.4,0.5,1.9,0.0,0.5,1.6,2,1,50.0,25,6,24.0
